electrode_id,x_um,y_um,rms_uV,ptp_uV,peak_uV,latency_ms,duration_ms,ttmin_ms,ttmax_ms,delay_ms,speed_ms,filter,t_pre_s,t_post_s
7,-2737.834017250948,-5273.834017250948,208.38607126152957,977.5542773356046,626.0660276483715,-1.0,20.96666666666667,7.233333333333333,5.200000000000001,8.233333964460378,0.9476729478639402,TDD,0.001,0.02
8,-1011.6680345018963,-5273.834017250948,263.4700066812702,1347.5587992779415,942.4876443582106,-1.0,20.96666666666667,5.566666666666666,7.200000000000001,6.5666671700352,1.1708223453668152,TDD,0.001,0.02
9,714.4979482471554,-5273.834017250948,271.573195920791,1605.0680655629046,1226.4710378703196,4.3,5.9,5.066666666666667,7.033333333333333,6.066667131707647,1.5176780449739073,TDD,0.001,0.02
10,2440.6639309962075,-5273.834017250948,174.7694933003093,1081.1052889408838,779.7103307868481,3.266666666666667,6.5,4.266666666666667,7.7666666666666675,5.266667070383562,1.4291260157378418,TDD,0.001,0.02
11,4166.82991374526,-5273.834017250948,201.48298588595708,1044.6792478879224,671.4956917488229,3.3,7.233333333333335,7.200000000000001,5.200000000000001,8.200000628571875,0.5811568716791021,TDD,0.001,0.02
12,-4464.0,-3547.6680345018963,148.14597418117336,739.3117810037693,475.1109890197768,-1.0,15.033333333333337,4.366666666666667,6.0,5.366667078049073,0.42464885714680883,TDD,0.001,0.02
13,-2737.834017250948,-3547.6680345018963,174.2579288321744,796.5307578966022,610.9715449812304,3.333333333333333,6.333333333333334,8.066666666666666,5.466666666666667,9.066667361672968,1.0452538659882622,TDD,0.001,0.02
14,-1011.6680345018963,-3547.6680345018963,101.35896355799227,551.0787028332038,306.84510888597555,-1.0,20.96666666666667,6.6,4.4,7.600000582578811,1.2559681591101866,TDD,0.001,0.02
15,714.4979482471554,-3547.6680345018963,280.3277782568206,1670.5361802234154,1277.65239103419,3.8000000000000003,5.333333333333333,5.933333333333334,7.400000000000001,6.93333386480874,2.1834358732292314,TDD,0.001,0.02
16,2440.6639309962075,-3547.6680345018963,176.89001708316204,1080.0169460017378,764.6981944303051,3.7,6.266666666666668,5.3,8.2,6.300000482927172,1.2529316464465874,TDD,0.001,0.02
17,4166.82991374526,-3547.6680345018963,168.53343544513004,953.730869235899,731.8514663472882,3.8666666666666667,6.033333333333332,7.500000000000001,5.633333333333334,8.500000651568408,0.6975076248342609,TDD,0.001,0.02
18,-4464.0,-1821.5020517528446,87.60157781403265,395.3487339925924,216.85738391818074,-1.0,15.733333333333336,4.266666666666667,6.500000000000001,5.266667070383562,3.2365270658764778,TDD,0.001,0.02
19,-2737.834017250948,-1821.5020517528446,152.2027871372457,854.522076156161,657.4771428488159,4.1000000000000005,3.4999999999999996,4.800000000000001,6.3,5.800000444599619,0.28112263315288927,TDD,0.001,0.02
20,-1011.6680345018963,-1821.5020517528446,79.47547860106837,399.31241210853466,267.95511359059867,3.1333333333333333,10.366666666666669,7.3,5.0,8.300000636237385,2.2467363479831266,TDD,0.001,0.02
21,714.4979482471554,-1821.5020517528446,135.86925523514938,890.1389793621483,628.1708518297924,3.7333333333333334,4.166666666666668,5.966666666666667,4.666666666666667,6.966667200697243,2.920046364272278,TDD,0.001,0.02
22,2440.6639309962075,-1821.5020517528446,199.0394218301459,1208.6135215932727,841.0999232550096,-1.0,11.933333333333334,6.533333333333334,8.26666666666667,7.533333910801804,1.3528421169888383,TDD,0.001,0.02
23,4166.82991374526,-1821.5020517528446,112.89111328097735,691.3122859450798,467.54494846586175,3.366666666666667,6.833333333333334,4.933333333333334,6.466666666666667,5.933333788153633,0.7789191424694903,TDD,0.001,0.02
24,-4464.0,-95.33606900379255,60.57087600994851,234.33610898733795,119.41634014455238,1.6333333333333335,18.333333333333332,4.366666666666667,6.800000000000001,5.366667078049073,0.10908889172619708,TDD,0.001,0.02
25,-2737.834017250948,-95.33606900379255,101.20060482214598,404.1880064425518,238.280599239512,3.0666666666666673,16.9,19.96666666666667,6.9,20.966668273868738,0.8427046644995675,TDD,0.001,0.02
26,-1011.6680345018963,-95.33606900379255,35.415953203619765,209.49730983320617,113.710517588536,-1.0,20.96666666666667,5.6,7.233333333333333,6.600000505923704,0.26267758355376847,TDD,0.001,0.02
27,714.4979482471554,-95.33606900379255,105.59934222302634,659.4103258901972,386.24807447145776,3.333333333333333,16.633333333333333,6.833333333333335,5.500000000000001,7.833333933798335,1.6133601779205549,TDD,0.001,0.02
28,2440.6639309962075,-95.33606900379255,78.38218124313227,414.2870683718482,232.78630031774,-1.0,12.566666666666666,7.633333333333333,4.6,8.63333399512242,1.4372215235937729,TDD,0.001,0.02
29,4166.82991374526,-95.33606900379255,69.03624047127668,187.88743898682247,180.79278106570712,-1.0,20.96666666666667,4.433333333333334,8.300000000000002,5.43333374982608,0.537324572352451,TDD,0.001,0.02
30,-2737.834017250948,1630.8299137452595,,,,,,,,,,TDD,0.001,0.02
31,-1011.6680345018963,1630.8299137452595,20.328713465129134,95.81258369025534,61.6585631366221,-1.0,16.233333333333334,6.800000000000001,8.26666666666667,7.800000597909833,1.0885310807490274,TDD,0.001,0.02
32,714.4979482471554,1630.8299137452595,66.19905150699827,296.063536241169,241.5424256534453,-1.0,20.96666666666667,6.633333333333334,8.566666666666666,7.633333918467314,6.361993994239133,TDD,0.001,0.02
33,2440.6639309962075,1630.8299137452595,,,,,,,,,,TDD,0.001,0.02
